region,year,population,gdp,building_energy
usa,1990,251728,22.587,15.91957032
usa,2005,300755,30.0655,19.89541676
usa,2010,315007,30.1214,20.03444027
usa,2015,328208,32.3356,19.44273909
usa,2021,340354,34.4662,19.75840241
china,1990,1159890,0.926142,13.50203841
china,2005,1312310,3.29253,14.6853601
china,2010,1355880,5.37063,15.37656059
china,2015,1401730,7.54382,17.91148624
china,2021,1434080,10.1986,22.02731959
EU,1990,364582,17.8828,12.75885603
EU,2005,385538,23.0581,15.26277327
EU,2010,396331,23.2753,15.86465349
EU,2015,402736,24.1508,13.94255257
EU,2021,408854,24.591,13.88156292
